,treeid,spnum,spname,spcode,site,aspect,sitequal,timbersale,dominance,baselinestandBA,baselineinddbh,tension,year,month,rain,temp,growth,prevmeasdbh,olddbh,oldBA,newdbh,newBA,mardbh,marba,near,age,azimuth,azadj
1,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,may,NA,NA,NA,12.3,12.3,118.8227878,NA,NA,NA,NA,21.74,59,138,138
2,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,jun,NA,NA,NA,12.3,12.3,118.8227878,NA,NA,NA,NA,21.74,59,138,138
3,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,jul,8.85,78.09,NA,12.3,12.3,118.8227878,NA,NA,NA,NA,21.74,59,138,138
4,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,aug,NA,NA,NA,12.3,12.3,118.8227878,NA,NA,NA,NA,21.74,59,138,138
5,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,sep,NA,NA,NA,12.3,12.3,118.8227878,NA,NA,NA,NA,21.74,59,138,138
6,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,oct,6.27,74.6375,NA,12.3,12.3,118.8227878,NA,NA,NA,NA,21.74,59,138,138
7,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,may,3.24,62.07142857,0,12.3,12.3,118.8227878,12.3,118.8227878,0,0,21.74,60,138,138
8,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,jun,3.08,81.83783784,7,12.3,12.3,118.8227878,19.3,292.5527148,7,173.729927,21.74,60,138,138
9,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,jul,2.74,87.13793103,3,19.3,19.3,292.5527148,22.3,390.5703228,3,98.017608,21.74,60,138,138
10,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,aug,5.79,86.25806452,0,23.6,23.6,437.4349916,23.6,437.4349916,0,0,21.74,60,138,138
11,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,sep,3.06,82.20588235,0,23.6,23.6,437.4349916,23.6,437.4349916,0,0,21.74,60,138,138
12,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2016,oct,2.91,65.5625,0,23.6,23.6,437.4349916,23.6,437.4349916,0,0,21.74,60,138,138
13,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2017,may,3.87,67.66666667,0,23.6,23.6,437.4349916,23.6,437.4349916,0,0,21.74,61,138,138
14,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2017,jun,6,77.39473684,8,23.6,23.6,437.4349916,31.6,784.2665276,8,346.831536,21.74,61,138,138
15,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2017,jul,7.9,84,7,31.6,31.6,784.2665276,38.6,1170.210859,7,385.9443315,21.74,61,138,138
16,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2017,aug,8.43,79.44444444,3,38.6,38.6,1170.210859,41.6,1359.177498,3,188.9666385,21.74,61,138,138
17,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2017,sep,3.32,76.06896552,2,41.6,41.6,1359.177498,43.6,1493.009232,2,133.831734,21.74,61,138,138
18,1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2017,oct,5.06,69.20512821,1,43.6,43.6,1493.009232,44.6,1562.281291,1,69.2720595,21.74,61,138,138
19,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2015,may,NA,NA,NA,9.1,9.1,65.03876698,NA,NA,NA,NA,23.19,64,124,124
20,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2015,jun,NA,NA,NA,9.1,9.1,65.03876698,NA,NA,NA,NA,23.19,64,124,124
21,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2015,jul,8.85,78.09,4.5,9.1,13.6,145.2671216,18.1,257.304075,4.5,112.0369534,23.19,64,124,124
22,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2015,aug,4.33,83.57575758,1,13.6,13.6,145.2671216,14.6,167.4153311,1,22.1482095,23.19,64,124,124
23,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2015,sep,NA,NA,NA,14.6,14.6,167.4153311,NA,NA,NA,NA,23.19,64,124,124
24,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2015,oct,6.27,74.6375,NA,14.6,14.6,167.4153311,NA,NA,NA,NA,23.19,64,124,124
25,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,may,3.24,62.07142857,0,14.6,14.6,167.4153311,14.6,167.4153311,0,0,23.19,65,124,124
26,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,jun,3.08,81.83783784,6,14.6,14.6,167.4153311,20.6,333.2912831,6,165.875952,23.19,65,124,124
27,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,jul,2.74,87.13793103,0,20.6,20.6,333.2912831,20.6,333.2912831,0,0,23.19,65,124,124
28,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,aug,5.79,86.25806452,0,23.6,23.6,437.4349916,23.6,437.4349916,0,0,23.19,65,124,124
29,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,sep,3.06,82.20588235,0,23.6,23.6,437.4349916,23.6,437.4349916,0,0,23.19,65,124,124
30,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2016,oct,2.91,65.5625,0,23.6,23.6,437.4349916,23.6,437.4349916,0,0,23.19,65,124,124
31,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2017,may,3.87,67.66666667,0,23.6,23.6,437.4349916,23.6,437.4349916,0,0,23.19,66,124,124
32,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2017,jun,6,77.39473684,7,23.6,23.6,437.4349916,30.6,735.4148031,7,297.9798115,23.19,66,124,124
33,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2017,jul,7.9,84,4,30.6,30.6,735.4148031,34.6,940.2464711,4,204.831668,23.19,66,124,124
34,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2017,aug,8.43,79.44444444,2,34.6,34.6,940.2464711,36.6,1052.087075,2,111.840604,23.19,66,124,124
35,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2017,sep,3.32,76.06896552,0,36.6,36.6,1052.087075,36.6,1052.087075,0,0,23.19,66,124,124
36,2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2017,oct,5.06,69.20512821,0,36.6,36.6,1052.087075,36.6,1052.087075,0,0,23.19,66,124,124
37,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,may,NA,NA,NA,10.3,10.3,83.32282078,NA,NA,NA,NA,22.79,65,145,145
38,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,jun,NA,NA,NA,10.3,10.3,83.32282078,NA,NA,NA,NA,22.79,65,145,145
39,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,jul,8.85,78.09,1,10.3,11.3,100.2874068,12.3,118.8227878,1,18.535381,22.79,65,145,145
40,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,aug,6.85,83.70212766,0,11.3,11.3,100.2874068,11.3,100.2874068,0,0,22.79,65,145,145
41,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,sep,NA,NA,NA,11.3,11.3,100.2874068,NA,NA,NA,NA,22.79,65,145,145
42,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,oct,4.765,72.72727273,0.5,11.3,11.8,109.3587479,12.3,118.8227878,0.5,9.464039875,22.79,65,145,145
43,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,may,3.24,62.07142857,0,11.8,11.8,109.3587479,11.8,109.3587479,0,0,22.79,66,145,145
44,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,jun,3.08,81.83783784,2,11.8,11.8,109.3587479,13.8,149.5710999,2,40.212352,22.79,66,145,145
45,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,jul,2.74,87.13793103,2,13.8,13.8,149.5710999,15.8,196.0666319,2,46.495532,22.79,66,145,145
46,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,aug,NA,NA,NA,13.8,13.8,149.5710999,NA,NA,NA,NA,22.79,66,145,145
47,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,sep,3.06,82.20588235,0,13.8,13.8,149.5710999,13.8,149.5710999,0,0,22.79,66,145,145
48,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2016,oct,2.91,65.5625,0,13.8,13.8,149.5710999,13.8,149.5710999,0,0,22.79,66,145,145
49,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2017,may,3.87,67.66666667,3,13.8,13.8,149.5710999,16.8,221.6705904,3,72.0994905,22.79,67,145,145
50,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2017,jun,6,77.39473684,5,16.8,16.8,221.6705904,21.8,373.2523079,5,151.5817175,22.79,67,145,145
51,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2017,jul,7.9,84,4,21.8,21.8,373.2523079,25.8,522.7919919,4,149.539684,22.79,67,145,145
52,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2017,aug,8.43,79.44444444,0,25.8,25.8,522.7919919,25.8,522.7919919,0,0,22.79,67,145,145
53,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2017,sep,3.32,76.06896552,0,25.8,25.8,522.7919919,25.8,522.7919919,0,0,22.79,67,145,145
54,3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2017,oct,5.06,69.20512821,0,25.8,25.8,522.7919919,25.8,522.7919919,0,0,22.79,67,145,145
55,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,may,NA,NA,NA,12.2,12.2,116.8985639,NA,NA,NA,NA,49.92,62,129,129
56,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,jun,NA,NA,NA,12.2,12.2,116.8985639,NA,NA,NA,NA,49.92,62,129,129
57,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,jul,8.85,78.09,0,12.2,12.2,116.8985639,12.2,116.8985639,0,0,49.92,62,129,129
58,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,aug,6.85,83.70212766,1,12.2,12.2,116.8985639,13.2,136.8476604,1,19.9490965,49.92,62,129,129
59,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,sep,NA,NA,NA,13.2,13.2,136.8476604,NA,NA,NA,NA,49.92,62,129,129
60,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,oct,4.765,72.72727273,0,13.2,13.2,136.8476604,13.2,136.8476604,0,0,49.92,62,129,129
61,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,may,3.24,62.07142857,1,13.2,13.2,136.8476604,14.2,158.3675519,1,21.5198915,49.92,63,129,129
62,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,jun,3.08,81.83783784,2,14.2,14.2,158.3675519,16.2,206.1197199,2,47.752168,49.92,63,129,129
63,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,jul,2.74,87.13793103,2,16.2,16.2,206.1197199,18.2,260.1550679,2,54.035348,49.92,63,129,129
64,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,aug,5.79,86.25806452,1,18.2,18.2,260.1550679,19.2,289.5289344,1,29.3738665,49.92,63,129,129
65,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,sep,3.06,82.20588235,0,47.5738665,47.5738665,1777.568778,47.5738665,1777.568778,0,0,49.92,63,129,129
66,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2016,oct,2.91,65.5625,0,47.5738665,47.5738665,1777.568778,47.5738665,1777.568778,0,0,49.92,63,129,129
67,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2017,may,3.87,67.66666667,0,47.5738665,47.5738665,1777.568778,47.5738665,1777.568778,0,0,49.92,64,129,129
68,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2017,jun,6,77.39473684,4,47.5738665,47.5738665,1777.568778,51.5738665,2089.050305,4,311.4815265,49.92,64,129,129
69,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2017,jul,7.9,84,0,51.5738665,51.5738665,2089.050305,51.5738665,2089.050305,0,0,49.92,64,129,129
70,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2017,aug,8.43,79.44444444,0,51.5738665,51.5738665,2089.050305,51.5738665,2089.050305,0,0,49.92,64,129,129
71,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2017,sep,3.32,76.06896552,0,51.5738665,51.5738665,2089.050305,51.5738665,2089.050305,0,0,49.92,64,129,129
72,4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2017,oct,5.06,69.20512821,0,51.5738665,51.5738665,2089.050305,51.5738665,2089.050305,0,0,49.92,64,129,129
73,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2015,may,NA,NA,NA,21.1,21.1,349.666821,NA,NA,NA,NA,52.07,48,129,129
74,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2015,jun,NA,NA,NA,21.1,21.1,349.666821,NA,NA,NA,NA,52.07,48,129,129
75,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2015,jul,8.85,78.09,6,21.1,27.1,576.803778,33.1,860.489355,6,283.685577,52.07,48,129,129
76,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2015,aug,4.33,83.57575758,3,27.1,27.1,576.803778,30.1,711.577989,3,134.774211,52.07,48,129,129
77,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2015,sep,NA,NA,NA,30.1,30.1,711.577989,NA,NA,NA,NA,52.07,48,129,129
78,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2015,oct,NA,NA,NA,30.1,30.1,711.577989,NA,NA,NA,NA,52.07,48,129,129
79,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,may,3.24,62.07142857,0,30.1,30.1,711.577989,30.1,711.577989,0,0,52.07,49,129,129
80,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,jun,3.08,81.83783784,1,30.1,30.1,711.577989,31.1,759.644316,1,48.066327,52.07,49,129,129
81,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,jul,2.74,87.13793103,3,31.1,31.1,759.644316,34.1,913.268067,3,153.623751,52.07,49,129,129
82,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,aug,5.79,86.25806452,2,33.1,33.1,860.489355,35.1,967.617574,2,107.128219,52.07,49,129,129
83,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,sep,3.06,82.20588235,NA,140.228219,140.228219,15444.01984,NA,NA,NA,NA,52.07,49,129,129
84,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2016,oct,2.91,65.5625,0,140.228219,140.228219,15444.01984,140.228219,15444.01984,0,0,52.07,49,129,129
85,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2017,may,3.87,67.66666667,0,140.228219,140.228219,15444.01984,140.228219,15444.01984,0,0,52.07,50,129,129
86,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2017,jun,6,77.39473684,4,140.228219,140.228219,15444.01984,144.228219,16337.66534,4,893.6455011,52.07,50,129,129
87,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2017,jul,7.9,84,7,144.228219,144.228219,16337.66534,151.228219,17962.02058,7,1624.355234,52.07,50,129,129
88,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2017,aug,8.43,79.44444444,6,151.228219,151.228219,17962.02058,157.228219,19415.58607,6,1453.565492,52.07,50,129,129
89,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2017,sep,3.32,76.06896552,1,157.228219,157.228219,19415.58607,158.228219,19663.34477,1,247.7586978,52.07,50,129,129
90,5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2017,oct,5.06,69.20512821,6,158.228219,158.228219,19663.34477,164.228219,21182.88365,6,1519.538882,52.07,50,129,129
91,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2015,may,NA,NA,NA,19.5,19.5,298.6473994,NA,NA,NA,NA,16.88,70,143,143
92,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2015,jun,NA,NA,NA,19.5,19.5,298.6473994,NA,NA,NA,NA,16.88,70,143,143
93,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2015,jul,8.85,78.09,6.5,19.5,26,530.92871,32.5,829.5761094,6.5,298.6473994,16.88,70,143,143
94,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2015,aug,4.33,83.57575758,1,26,26,530.92871,27,572.5547775,1,41.6260675,16.88,70,143,143
95,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2015,sep,NA,NA,NA,27,27,572.5547775,NA,NA,NA,NA,16.88,70,143,143
96,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2015,oct,6.27,74.6375,0,27,27,572.5547775,27,572.5547775,0,0,16.88,70,143,143
97,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,may,3.24,62.07142857,0,27,27,572.5547775,27,572.5547775,0,0,16.88,71,143,143
98,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,jun,3.08,81.83783784,13,27,27,572.5547775,40,1256.636,13,684.0812225,16.88,71,143,143
99,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,jul,2.74,87.13793103,7,40,40,1256.636,47,1734.943078,7,478.3070775,16.88,71,143,143
100,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,aug,5.79,86.25806452,1,43,43,1452.199978,44,1520.52956,1,68.3295825,16.88,71,143,143
101,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,sep,3.06,82.20588235,0,111.3295825,111.3295825,9734.433337,111.3295825,9734.433337,0,0,16.88,71,143,143
102,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2016,oct,2.91,65.5625,0,111.3295825,111.3295825,9734.433337,111.3295825,9734.433337,0,0,16.88,71,143,143
103,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2017,may,3.87,67.66666667,1,111.3295825,111.3295825,9734.433337,112.3295825,9910.094686,1,175.661349,16.88,72,143,143
104,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2017,jun,6,77.39473684,13,112.3295825,112.3295825,9910.094686,125.3295825,12336.63457,13,2426.539883,16.88,72,143,143
105,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2017,jul,7.9,84,9,125.3295825,125.3295825,12336.63457,134.3295825,14172.0555,9,1835.420931,16.88,72,143,143
106,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2017,aug,8.43,79.44444444,4,134.3295825,134.3295825,14172.0555,138.3295825,15028.63881,4,856.5833062,16.88,72,143,143
107,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2017,sep,3.32,76.06896552,0,138.3295825,138.3295825,15028.63881,138.3295825,15028.63881,0,0,16.88,72,143,143
108,6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2017,oct,5.06,69.20512821,1,138.3295825,138.3295825,15028.63881,139.3295825,15246.71162,1,218.072814,16.88,72,143,143
109,7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2015,may,NA,NA,NA,9.4,9.4,69.3977231,NA,NA,NA,NA,72.17,88,145,145
