treeid,spnum,spname,spcode,site,aspect,sitequal,timbersale,dominance,baselineBA,baselinedbh,tension,jun15grow,jun15rain,jun15temp,jul15grow,jul15rain,jul15temp,aug15grow,aug15rain,aug15temp,sep15grow,sep15rain,sep15temp,oct15grow,oct15rain,oct15temp,tot15grow,tot15rain,mean15temp,may16grow,may16rain,may16temp,jun16grow,jun16rain,jun16temp,jul16grow,jul16rain,jul16temp,aug16grow,aug16rain,aug16temp,sep16grow,sep16rain,sep16temp,oct16grow,oct16rain,oct16temp,tot16grow,tot16rain,mean16temp,may17grow,may17rain,may17temp,jun17grow,jun17rain,jun17temp,jul17grow,jul17rain,jul17temp,aug17grow,aug17rain,aug17temp,sep17grow,sep17rain,sep17temp,oct17grow,oct17rain,oct17temp,tot17grow,tot17rain,mean17temp
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,999,999,999,999,8.85,78.09,999,999,999,999,999,999,999,6.27,74.6375,999,33.67,77.50887574,0,3.24,62.07142857,7,3.08,81.83783784,3,2.74,87.13793103,0,5.79,86.25806452,0,3.06,82.20588235,0,2.91,65.5625,10,19.86,77.70430108,0,3.87,67.66666667,8,6,77.39473684,7,7.9,84,3,8.43,79.44444444,2,3.32,76.06896552,1,5.06,69.20512821,21,34.31,75.40909091
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,999,999,999,4.5,8.85,78.09,1,4.33,83.57575758,999,999,999,999,6.27,74.6375,999,33.67,77.50887574,0,3.24,62.07142857,6,3.08,81.83783784,0,2.74,87.13793103,0,5.79,86.25806452,0,3.06,82.20588235,0,2.91,65.5625,6,19.86,77.70430108,0,3.87,67.66666667,7,6,77.39473684,4,7.9,84,2,8.43,79.44444444,0,3.32,76.06896552,0,5.06,69.20512821,13,34.31,75.40909091
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,999,999,999,1,8.85,78.09,0,6.85,83.70212766,999,999,999,0.5,4.765,72.72727273,3,33.67,77.50887574,0,3.24,62.07142857,2,3.08,81.83783784,2,2.74,87.13793103,999,999,999,0,3.06,82.20588235,0,2.91,65.5625,4,19.86,77.70430108,3,3.87,67.66666667,5,6,77.39473684,4,7.9,84,0,8.43,79.44444444,0,3.32,76.06896552,0,5.06,69.20512821,12,34.31,75.40909091
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,999,999,999,0,8.85,78.09,1,6.85,83.70212766,999,999,999,0,4.765,72.72727273,1,33.67,77.50887574,1,3.24,62.07142857,2,3.08,81.83783784,2,2.74,87.13793103,1,5.79,86.25806452,0,3.06,82.20588235,0,2.91,65.5625,6,19.86,77.70430108,0,3.87,67.66666667,4,6,77.39473684,0,7.9,84,0,8.43,79.44444444,0,3.32,76.06896552,0,5.06,69.20512821,4,34.31,75.40909091
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,999,999,999,6,8.85,78.09,3,4.33,83.57575758,999,999,999,999,999,999,999,33.67,77.50887574,0,3.24,62.07142857,1,3.08,81.83783784,3,2.74,87.13793103,2,5.79,86.25806452,999,3.06,82.20588235,0,2.91,65.5625,6,19.86,77.70430108,0,3.87,67.66666667,4,6,77.39473684,7,7.9,84,6,8.43,79.44444444,1,3.32,76.06896552,6,5.06,69.20512821,24,34.31,75.40909091
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,999,999,999,6.5,8.85,78.09,1,4.33,83.57575758,999,999,999,0,6.27,74.6375,14,33.67,77.50887574,0,3.24,62.07142857,13,3.08,81.83783784,7,2.74,87.13793103,1,5.79,86.25806452,0,3.06,82.20588235,0,2.91,65.5625,21,19.86,77.70430108,1,3.87,67.66666667,13,6,77.39473684,9,7.9,84,4,8.43,79.44444444,0,3.32,76.06896552,1,5.06,69.20512821,28,34.31,75.40909091
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,999,999,999,3.5,8.85,78.09,3,4.33,83.57575758,999,999,999,1,6.27,74.6375,12,33.67,77.50887574,2,3.24,62.07142857,5,3.08,81.83783784,2,2.74,87.13793103,2,6.49,86.26315789,1,2.3,80.92592593,0,2.91,65.5625,12,19.86,77.70430108,4,3.87,67.66666667,5,6,77.39473684,4,7.9,84,3,8.43,79.35135135,0,3.07,76.53571429,0,5.06,69.20512821,16,34.31,75.40909091
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,999,999,999,1.5,8.85,78.09,2,4.33,83.57575758,999,999,999,2,6.27,74.6375,9,33.67,77.50887574,3,3.24,62.07142857,0,3.08,81.83783784,4,2.74,87.13793103,3,6.49,86.26315789,0,2.3,80.92592593,1,2.91,65.5625,11,19.86,77.70430108,4,3.87,67.66666667,4,6,77.39473684,2,7.9,84,0,8.43,79.35135135,0,3.07,76.53571429,1,5.06,69.20512821,11,34.31,75.40909091
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,999,999,999,1.5,8.85,78.09,0,4.33,83.57575758,999,999,999,0,6.27,74.6375,3,33.67,77.50887574,0,3.24,62.07142857,0,3.08,81.83783784,999,999,999,0,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,0,19.86,77.70430108,0,3.87,67.66666667,1,6,77.39473684,4,7.9,84,0.5,8.43,79.35135135,0,3.07,76.53571429,0,5.06,69.20512821,5.5,34.31,75.40909091
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,999,999,999,999,8.85,78.09,999,999,999,999,999,999,999,999,999,999,33.67,77.50887574,1,3.24,62.07142857,2,3.08,81.83783784,2,2.74,87.13793103,999,999,999,0,2.3,80.92592593,2,2.91,65.5625,7,19.86,77.70430108,0,3.87,67.66666667,999,999,999,0,7.9,84,1,8.43,79.35135135,0,3.07,76.53571429,999,5.06,69.20512821,1,34.31,75.40909091
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,999,999,999,1,8.85,78.09,1,4.33,83.57575758,999,999,999,1,6.27,74.6375,5,33.67,77.50887574,999,999,999,0,3.08,81.83783784,1,2.74,87.13793103,0,6.49,86.26315789,1,2.3,80.92592593,0,2.91,65.5625,2,19.86,77.70430108,3,3.87,67.66666667,0,6,77.39473684,0,7.9,84,999,8.43,79.35135135,0,3.07,76.53571429,0,5.06,69.20512821,3,34.31,75.40909091
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,999,999,999,2,8.85,78.09,3,4.33,83.57575758,999,999,999,0,6.27,74.6375,7,33.67,77.50887574,2,3.24,62.07142857,2,3.08,81.83783784,0,2.74,87.13793103,0,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,4,19.86,77.70430108,0,3.87,67.66666667,0,6,77.39473684,0,7.9,84,0,8.43,79.35135135,1,3.07,76.53571429,999,5.06,69.20512821,1,34.31,75.40909091
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,0,11.87,77.65625,999,999,999,0,6,82.31,999,999,999,0,4.765,72.72727273,0,33.17,77.59756098,0,3.24,62.07142857,0,3.08,81.83783784,2,2.74,87.13793103,3,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,5,19.86,77.70430108,3,3.87,67.66666667,4.5,6,77.41666667,3,7.98,83.5,1,8.43,79.44444444,999,3.32,76.06896552,0,5.57,68.52380952,11.5,34.82,75.17412935
14,802,White Oak,QUAL,B06B,N,1,N,C,140,11.6,lo,0,11.87,77.65625,999,999,999,1,6,82.31,999,999,999,1.25,4.765,72.72727273,4.5,33.17,77.59756098,0,3.24,62.07142857,1,3.08,81.83783784,1,2.74,87.13793103,0,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,2,19.86,77.70430108,0,3.87,67.66666667,0,6,77.41666667,0,7.98,83.5,0,8.43,79.44444444,0,3.32,76.06896552,0,5.57,68.52380952,0,34.82,75.17412935
15,833,Red Oak,QURU,B06B,N,1,Y,C,100,11.5,lo,6,11.87,77.65625,999,999,999,999,999,999,999,999,999,999,999,999,999,33.17,77.59756098,1,3.24,62.07142857,7,3.08,81.83783784,5,2.74,87.13793103,5,6.49,86.26315789,1,2.3,80.92592593,0,2.91,65.5625,19,19.86,77.70430108,7,3.87,67.66666667,12,6,77.41666667,10,7.98,83.5,3,8.43,79.44444444,0,3.32,76.06896552,0,5.57,68.52380952,32,34.82,75.17412935
16,833,Red Oak,QURU,B06B,N,1,N,C,130,12.9,lo,8,11.87,77.65625,999,999,999,999,999,999,999,999,999,999,999,999,999,33.17,77.59756098,1,3.24,62.07142857,4,3.08,81.83783784,0,2.74,87.13793103,0,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,5,19.86,77.70430108,4,3.87,67.66666667,8,6,77.41666667,7,7.98,83.5,0,8.43,79.44444444,999,3.32,76.06896552,1,5.57,68.52380952,20,34.82,75.17412935
17,832,Chestnut Oak,QUMO,B06B,N,1,Y,D,90,16.5,lo,0,11.87,77.65625,999,999,999,999,999,999,0,4.736666667,82.17582418,0,7.32,67.88372093,0,33.17,77.59756098,0,3.24,62.07142857,0,3.08,81.83783784,1,2.74,87.13793103,1,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,2,19.86,77.70430108,0,3.87,67.66666667,0,6,77.41666667,4,7.98,83.5,0,8.43,79.44444444,0,3.32,76.06896552,1,5.57,68.52380952,5,34.82,75.17412935
18,129,White Pine,PIST,B06B,N,1,N,C,160,4.5,lo,0,11.87,77.65625,999,999,999,999,999,999,0,4.736666667,82.17582418,0,7.32,67.88372093,0,33.17,77.59756098,0,3.24,62.07142857,0,3.08,81.83783784,0,2.74,87.13793103,0,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,0,19.86,77.70430108,0,3.87,67.66666667,1,6,77.41666667,1,7.98,83.5,0,8.43,79.44444444,0,3.32,76.06896552,0,5.57,68.52380952,2,34.82,75.17412935
19,832,Chestnut Oak,QUMO,B06B,N,1,N,C,150,13.6,lo,0,11.87,77.65625,999,999,999,999,999,999,999,999,999,999,999,999,999,33.17,77.59756098,0,3.24,62.07142857,1,3.08,81.83783784,2,2.74,87.13793103,1,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,4,19.86,77.70430108,2,3.87,67.66666667,2,6,77.41666667,1.5,7.98,83.5,1,8.43,79.44444444,1,3.32,76.06896552,0.5,5.57,68.52380952,8,34.82,75.17412935
20,129,White Pine,PIST,B06B,N,1,Y,C,80,8.2,lo,7,11.87,77.65625,999,999,999,999,999,999,4.3333,4.736666667,82.17582418,3,7.32,67.88372093,10,33.17,77.59756098,9,3.24,62.07142857,11,3.08,81.83783784,8,2.74,87.13793103,13,6.49,86.26315789,6,2.3,80.92592593,2,2.91,65.5625,49,19.86,77.70430108,16,3.87,67.66666667,17,6,77.41666667,12,7.98,83.5,15,8.43,79.44444444,7,3.32,76.06896552,999,5.57,68.52380952,67,34.82,75.17412935
21,316,Red Maple,ACRU,B06B,N,1,Y,C,70,10.9,lo,3,11.87,77.65625,999,999,999,999,6,82.31,999,999,999,999,999,999,999,33.17,77.59756098,0,3.24,62.07142857,3,3.08,81.83783784,2,2.74,87.13793103,1,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,6,19.86,77.70430108,1,3.87,67.66666667,6,6,77.41666667,6,7.98,83.5,0,8.43,79.44444444,0,3.32,76.06896552,0.5,5.57,68.52380952,13.5,34.82,75.17412935
22,316,Red Maple,ACRU,B06B,N,1,N,C,110,11.9,lo,2,11.87,77.65625,999,999,999,1.5,6,82.31,999,999,999,0,4.765,72.72727273,5,33.17,77.59756098,0,3.24,62.07142857,3,3.08,81.83783784,1,2.74,87.13793103,0,6.49,86.26315789,0,2.3,80.92592593,0,2.91,65.5625,4,19.86,77.70430108,0,3.87,67.66666667,999,999,999,0,7.98,83.5,0,8.43,79.44444444,0,3.32,76.06896552,0,5.57,68.52380952,0,34.82,75.17412935
23,372,Black Birch,BELE,B10B,S,2,Y,C,70,13.5,lo,999,999,999,5,8.85,78.09,7,4.33,83.57575758,999,999,999,1.5,6.27,74.6375,20,33.67,77.50887574,0,3.24,62.07142857,6,3.08,81.83783784,3.5,2.74,87.13793103,999,999,999,0,2.3,80.92592593,0,2.91,65.5625,10,19.86,77.70430108,0,3.87,67.66666667,4,6,77.39473684,5,7.9,84,3,8.43,79.35135135,0,3.07,76.53571429,0,5.06,69.20512821,12,34.31,75.40909091
24,372,Black Birch,BELE,B10B,S,2,N,C,90,10.3,lo,999,999,999,2,8.85,78.09,3,4.33,83.57575758,999,999,999,0.5,6.27,74.6375,8,33.67,77.50887574,0,3.24,62.07142857,5,3.08,81.83783784,2,2.74,87.13793103,1,6.49,86.26315789,0,2.3,80.92592593,1,2.91,65.5625,9,19.86,77.70430108,1,3.87,67.66666667,4,6,77.39473684,3,7.9,84,2,8.43,79.35135135,0,3.07,76.53571429,0.5,5.06,69.20512821,10.5,34.31,75.40909091
25,743,Bigtooth Aspen,POGR,C03x,N,1,N,C,150,10.8,na,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,19.86,77.70430108,0,3.62,67.40625,1,5.88,77.15151515,0,10.17,83.48484848,0,8.43,79.44444444,0,3.32,76.06896552,0.5,5.06,69.20512821,1.5,34.06,75.40609137
26,802,White Oak,QUAL,C03x,N,1,N,C,110,11.1,na,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,19.86,77.70430108,0,3.62,67.40625,0.5,5.88,77.15151515,2,10.17,83.48484848,1,8.43,79.44444444,0,3.32,76.06896552,0,5.06,69.20512821,3.5,34.06,75.40609137
27,129,White Pine,PIST,C03x,N,2,N,C,170,15.3,na,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,19.86,77.70430108,0,3.62,67.40625,0.5,5.88,77.15151515,0,10.17,83.48484848,0,8.43,79.44444444,0,3.32,76.06896552,0,5.06,69.20512821,0.5,34.06,75.40609137
28,261,Eastern Hemlock,TSCA,C03x,N,1,N,I,100,9.6,na,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,19.86,77.70430108,0,3.62,67.40625,0,5.88,77.15151515,0,10.17,83.48484848,999,8.43,79.44444444,1,3.32,76.06896552,0,5.06,69.20512821,1,34.06,75.40609137
29,743,Bigtooth Aspen,POGR,C03x,N,3,Y,C,70,11.9,na,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,19.86,77.70430108,0,3.62,67.40625,999,999,999,0,10.17,83.48484848,0,8.43,79.44444444,0,3.32,76.06896552,0,5.06,69.20512821,0,34.06,75.40609137
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,19.86,77.70430108,1,3.62,67.40625,0,5.88,77.15151515,0,10.17,83.48484848,0,8.43,79.44444444,999,3.32,76.06896552,0,5.06,69.20512821,1,34.06,75.40609137
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,19.86,77.70430108,5,3.62,67.40625,9,5.88,77.15151515,8.5,10.17,83.48484848,6,8.43,79.44444444,0,3.32,76.06896552,1,5.06,69.20512821,29.5,34.06,75.40609137
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,19.86,77.70430108,0,3.62,67.40625,8,5.88,77.15151515,1.5,10.17,83.48484848,1,8.43,79.44444444,0,3.32,76.06896552,0.5,5.06,69.20512821,11,34.06,75.40609137
